ID_REF,GSM1684096,GSM1684098,GSM1684100,GSM1684102,GSM1684104,GSM1684095,GSM1684097,GSM1684099,GSM1684101,GSM1684103
ILMN_3296519,124.48,149.555,146.501,179.088,152.264,140.4,174.877,147.466,196.525,177.271
ILMN_3296588,123.883,152.879,144.759,105.171,109.494,157.976,110.268,110.198,105.251,104.431
ILMN_3296607,101.663,83.6443,104.124,76.0882,91.3,89.054,99.3932,88.8838,103.784,81.4993
ILMN_3296610,121.307,106.741,109.636,104.623,111.348,101.512,127.861,107.673,97.6088,93.0731
ILMN_3296633,98.0219,106.483,96.2247,82.1907,94.8186,104.68,91.4538,103.099,105.759,98.5931
ILMN_3296640,97.3593,111.703,100.934,110.861,120.817,100.715,107.572,111.37,125.451,111.932
ILMN_3296663,126.584,101.094,107.386,124.614,119.836,108.226,120.59,106.172,129.29,110.237
ILMN_3296690,103.714,97.778,105.691,128.745,105.388,101.496,100.904,91.4382,101.553,96.5577
ILMN_3296700,93.0769,102.743,98.3203,112.98,107.461,123.768,98.0299,78.5429,105.422,112.945
ILMN_3296705,101.663,113.233,117.251,117.776,108.715,96.2538,107.082,111.237,113.329,113.898
ILMN_3296741,115.389,120.615,107.259,111.447,101.914,106.745,89.2684,108.919,99.8563,100.549
ILMN_3296783,96.6706,107.413,94.7644,91.242,95.8331,99.9529,101.576,94.2525,109.233,109.658
ILMN_3296793,97.273,106.589,103.564,108.139,87.4882,102.134,110.056,96.863,92.053,104.151
